RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,Zone,Region,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetCategoryName_2,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-F/A/202526/0006,05-06-2025,Facility,Upgrade,2331824,A,A19,BAKROL APEX - A19 (HO),West,AMD,Dom Exp,Admin,Yes,AMD 25,"Under Budgeted25 Due to space issue, proposed to m",Approved,28-06-2025,,,User - Loresh Fernandes ,LEASEHOLD IMPROVEMENTS,LEASEHOLD IMPROVEMENTS,METAL FABRICATION-Ops,Local,OPSMHE&FACILITYASSET,0,1,80100,0,0,80100,"Under Budgeted Due to space issue, proposed to mov",Power Tep Electrical,80100,80100,7 to 10 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0006,05-06-2025,Facility,Upgrade,2331824,A,A19,BAKROL APEX - A19 (HO),West,AMD,Dom Exp,Admin,Yes,AMD 25,"Under Budgeted25 Due to space issue, proposed to m",Approved,28-06-2025,,,User - Loresh Fernandes ,LEASEHOLD IMPROVEMENTS,LEASEHOLD IMPROVEMENTS,INTERIOR WORK (Partition excluding woodwork)-Ops,Local,OPSMHE&FACILITYASSET,0,1,162130,0,0,162130,"Under Budgeted Due to space issue, proposed to mov",Power Tep Electrical,162130,162130,7 to 10 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0006,05-06-2025,Facility,Upgrade,2331824,A,A19,BAKROL APEX - A19 (HO),West,AMD,Dom Exp,Admin,Yes,AMD 25,"Under Budgeted25 Due to space issue, proposed to m",Approved,28-06-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11) - OPS,Central,ITASSETS-OPS,2600,3,2600,0,,7800,"Under Budgeted Due to space issue, proposed to mov",,0,0,,,
CPX-F/A/202526/0006,05-06-2025,Facility,Upgrade,2331824,A,A19,BAKROL APEX - A19 (HO),West,AMD,Dom Exp,Admin,Yes,AMD 25,"Under Budgeted25 Due to space issue, proposed to m",Approved,28-06-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH) - OPS,Central,ITASSETS-OPS,14411,2,14411,0,,28822,"Under Budgeted Due to space issue, proposed to mov",,0,0,,,
CPX-F/A/202526/0006,05-06-2025,Facility,Upgrade,2331824,A,A19,BAKROL APEX - A19 (HO),West,AMD,Dom Exp,Admin,Yes,AMD 25,"Under Budgeted25 Due to space issue, proposed to m",Approved,28-06-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,10 KVA UPS ONLY (APC SRC10KUXI-IN)-NON-OPS,Central,ITASSETS-NONOPS,125610,1,125610,0,,125610,"Under Budgeted Due to space issue, proposed to mov",,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,Aruba AP Adapter (for AP-505 & AP-515),Central,IT-Hardware,2572,1,2572,0,,2572,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,Aruba AP-515 (RW) Unified AP,Central,IT-Hardware,49322,1,49322,0,,49322,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,3,14411,0,,43233,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,NEWLAND HR2000 WIRED BARCODE SCANNER (FC),Central,IT-Hardware,4490,3,4490,0,,13470,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,2,12340,0,,24680,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Crates - 810 x 568 x 425mm (Nilkamal),Central,Operation,1148,10,1148,0,,11480,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal),Central,Operation,2773,14,2773,0,,38822,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,16,12000,0,,192000,11 dome & 5 bullet Budgeted AMD25 due to space con,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,Desktop / PC (Dell/Lenovo/HP),Central,IT-Hardware,45455,7,45455,0,,318185,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,Operation,22000,2,22000,0,,44000,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,4,24860,0,,99440,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,HP 1008w Printer (SFP),Central,IT-Hardware,9400,2,9400,0,,18800,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,COMPUTER,COMPUTER,10 KVA UPS upto 2 Hrs Backup (APC SRC10KUXI-IN),Central,Operation,244970,1,244970,0,,244970,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae),Central,Operation,8421,3,8421,0,,25263,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 600 kgs (Essae),Central,Operation,22333.5,1,22333.5,0,,22333.5,Budgeted AMD25 due to space constraints and connec,,0,0,,,
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Holder,Local,Operation,0,5,1050,0,0,5250,Budgeted AMD25 due to space constraints and connec,Techno hub enterprise,1050,5250,20 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Carrying Trolley,Local,Operation,0,5,19000,3500,Transport,98500,Budgeted AMD25 due to space constraints and connec,techno hub enterprise,19000,98500,20 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,LEASEHOLD IMPROVEMENTS,LEASEHOLD IMPROVEMENTS,Carpentory Work,Local,Admin,0,1,82500,0,0,82500,Budgeted AMD25 due to space constraints and connec,Techno hub enterprise,82500,82500,20 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,LEASEHOLD IMPROVEMENTS,LEASEHOLD IMPROVEMENTS,Electrical Work,Local,Admin,0,1,234370,0,0,234370,Budgeted AMD25 due to space constraints and connec,Techno hud enterprise,234370,234370,20 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,LEASEHOLD IMPROVEMENTS,LEASEHOLD IMPROVEMENTS,Interior Work,Local,Admin,0,1,50970,0,0,50970,Budgeted AMD25 due to space constraints and connec,Techno hub enterprise,50970,50970,20 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,LEASEHOLD IMPROVEMENTS,LEASEHOLD IMPROVEMENTS,IT Networking Work,Local,Admin,0,1,66880,0,0,66880,"Budgeted AMD25, due to space constraints and conne",Techno hub enterprise,66880,66880,20 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/A/202526/0007,13-07-2025,Facility,New,1929040.5,A,0,Select,West,AMD,Dom Exp,Admin,Yes,AMD25,CPX-F/A/202526 Budgeted AMD25 -due to space constr,Approved,13-07-2025,,,User - Loresh Fernandes ,FURINTURE,PLANT & MACHINERY,Table,Local,Admin,0,1,70000,0,0,70000,Budgeted AMD25 due to space constraints and connec,Infrawala,70000,70000,15 days,"40% (Advance), 40%(after 80% work completion), 20%",Yes
CPX-F/B/202526/0006,06-08-2025,Facility,New,86177,B,H07,BASHEERBAGH BRANCH - H07 (BO),South,HYD,Dom Exp,Ops,No,,Ops MHE for the New Rajarajeshwari Nagar Branch,Approved,06-08-2025,,,User - Sukesh B L ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Crates - 810 x 568 x 425mm (Nilkamal),Central,Operation,1148,5,1148,0,,5740,Plastic Crates - 810 x 568 x 425mm (Nilkamal) is f,,0,0,,,
CPX-F/B/202526/0006,06-08-2025,Facility,New,86177,B,H07,BASHEERBAGH BRANCH - H07 (BO),South,HYD,Dom Exp,Ops,No,,Ops MHE for the New Rajarajeshwari Nagar Branch,Approved,06-08-2025,,,User - Sukesh B L ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal),Central,Operation,2773,15,2773,0,,41595,Plastic Pallets (Nilkamal) for New RR nagar Branch,,0,0,,,
CPX-F/B/202526/0006,06-08-2025,Facility,New,86177,B,H07,BASHEERBAGH BRANCH - H07 (BO),South,HYD,Dom Exp,Ops,No,,Ops MHE for the New Rajarajeshwari Nagar Branch,Approved,06-08-2025,,,User - Sukesh B L ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,Operation,22000,1,22000,0,,22000,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,,0,0,,,
CPX-F/B/202526/0006,06-08-2025,Facility,New,86177,B,H07,BASHEERBAGH BRANCH - H07 (BO),South,HYD,Dom Exp,Ops,No,,Ops MHE for the New Rajarajeshwari Nagar Branch,Approved,06-08-2025,,,User - Sukesh B L ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae),Central,Operation,8421,2,8421,0,,16842,Weighing Machine - 35 kgs (Essae) is for new RR na,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Ops,Central,ITASSETS-OPS,45455,1,45455,0,,45455,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,HP 136nw Printer (MFP)-Ops,Central,ITASSETS-OPS,16907,1,16907,0,,16907,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI- OPS,Central,ITASSETS-OPS,24860,2,24860,0,,49720,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal)-Ops,Central,OPSMHE&FACILITYASSET,2773,35,2773,0,,97055,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,OPSMHE&FACILITYASSET,22000,2,22000,0,,44000,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 500 kgs (Essae)-Ops,Central,OPSMHE&FACILITYASSET,19530,1,19530,0,,19530,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0004,23-04-2025,Facility,Upgrade,287078,E,E57,TIRUPUR SCS BRANCH - E57 (BO),South,CJB,LTL,Admin,Yes,FY24-25,Qty given by Rahul sethi as per the Budget taken f,Approved,03-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH) - OPS,Central,ITASSETS-OPS,14411,1,14411,0,,14411,Qty given by Rahul sethi as per the Budget taken f,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI- OPS,Central,ITASSETS-OPS,24860,4,24860,0,,99440,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal)-Ops,Central,OPSMHE&FACILITYASSET,2773,25,2773,0,,69325,Qty approved  by OPS team and ZBH. ,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Crates - 810 x 568 x 425mm (Nilkamal)-Ops,Central,OPSMHE&FACILITYASSET,1148,25,1148,0,,28700,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,OPSMHE&FACILITYASSET,22000,4,22000,0,,88000,Qty approved by OPS team and ZBH ,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae)-Ops,Central,OPSMHE&FACILITYASSET,8421,4,8421,0,,33684,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 300 kgs (Essae)-Ops,Central,OPSMHE&FACILITYASSET,16684.5,1,16684.5,0,,16684.5,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,PLANT & MACHINERY,LOCKER-Non-Ops,Local,ADMIN-ASSETS-OTHERS,0,1,22500,0,0,22500,Design craft is l1. Qty approved by OPS team and Z,Design craft,22500,22500,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Shelving Racks-Ops,Local,OPSMHE&FACILITYASSET,0,4,29800,0,0,119200,Design craft is l1. Qty approved by OPS team and Z,Design craft,29800,119200,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,BARRICADES-Ops,Local,OPSMHE&FACILITYASSET,0,4,2500,0,0,10000,Design craft is l1. Qty approved by OPS team and Z,Design craft,2500,10000,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,TROLLEY-Ops,Local,OPSMHE&FACILITYASSET,0,5,9800,0,0,49000,Packet trolley. Out of 3 quotes design craft is l1,Design craft,9800,49000,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Carrying Trolley-Ops,Local,OPSMHE&FACILITYASSET,0,3,16500,0,0,49500,Design craft is l1. Qty approved by OPS team and Z,Design craft,16500,49500,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Holder-Ops,Local,OPSMHE&FACILITYASSET,0,5,600,0,0,3000,"Out of 3 quotes, Design craft is L1 . Qty approved",Design craft,600,3000,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Location Stand-Ops,Local,OPSMHE&FACILITYASSET,0,12,2000,0,0,24000,Design craft is l1. Qty approved by OPS team and Z,Design craft,2000,24000,0,0,Yes
CPX-F/E/202526/0007,10-05-2025,Facility,Upgrade,641855.5,E,E08,MADURAI APEX - E08 (HO),South,CJB,Dom Exp,Ops,Yes,FY24-25,"This capex is for Madurai MHE requirements, Qty ap",Approved,16-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH) - OPS,Central,ITASSETS-OPS,14411,2,14411,0,,28822,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0008,10-05-2025,Facility,Upgrade,915269,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,Ops,Yes,FY25,This capex is for Coimbatore Integrated Apex MHE r,Approved,16-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI- OPS,Central,ITASSETS-OPS,24860,6,24860,0,,149160,Qty approved  by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0008,10-05-2025,Facility,Upgrade,915269,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,Ops,Yes,FY25,This capex is for Coimbatore Integrated Apex MHE r,Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal)-Ops,Central,OPSMHE&FACILITYASSET,2773,61,2773,0,,169153,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0008,10-05-2025,Facility,Upgrade,915269,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,Ops,Yes,FY25,This capex is for Coimbatore Integrated Apex MHE r,Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Crates - 810 x 568 x 425mm (Nilkamal)-Ops,Central,OPSMHE&FACILITYASSET,1148,44,1148,0,,50512,Qty approved by OPS team and ZBH,,0,0,,,
CPX-F/E/202526/0008,10-05-2025,Facility,Upgrade,915269,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,Ops,Yes,FY25,This capex is for Coimbatore Integrated Apex MHE r,Approved,16-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,OPSMHE&FACILITYASSET,22000,7,22000,0,,154000,Qty approved by OPS  team and ZBH,,0,0,,,
CPX-F/E/202526/0008,10-05-2025,Facility,Upgrade,915269,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,Ops,Yes,FY25,This capex is for Coimbatore Integrated Apex MHE r,Approved,16-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,PLANT & MACHINERY,LOCKER-Non-Ops,Local,ADMIN-ASSETS-OTHERS,0,3,22500,0,0,67500,Safety locker .  Design craft is l1. Qty approved ,Design craft,22500,67500,0,0,Yes
